P_list: [2000]
rho_list: [np.float64(0.0), np.float64(0.05), np.float64(0.1), np.float64(0.15), np.float64(0.2), np.float64(0.25), np.float64(0.3), np.float64(0.35), np.float64(0.4), np.float64(0.45), np.float64(0.5), np.float64(0.55), np.float64(0.6), np.float64(0.65), np.float64(0.7), np.float64(0.75), np.float64(0.8), np.float64(0.85), np.float64(0.9), np.float64(0.95), np.float64(1.0)]
n_iters: 300000
n_diag_samples: 100
run_pcn: False
run_mess: False
run_mpcn: False
run_independent_pcn: True
independent_pcn_count: 200
mpcn_parallel_backend: process
mpcn_parallel_n_jobs: 12
mpcn_parallelize_props: False
mpcn_llh_chunk_size: 0
checkpoint_interval: 10000
data_id: data_h5d92590a6971
run_id: mpcn_rho_sweep_h0546a8b4ce54
Run directory: /home/senng/multiproposal-internal/estimations/solute_transport/data_h5d92590a6971/sweep/mpcn_rho_sweep_h0546a8b4ce54
pCN disabled (run_pcn=False).
pCN independent chain 165/200 done: rho=0.500, accept=0.001, runtime=16.36s
pCN independent chain 166/200 done: rho=0.500, accept=0.001, runtime=16.02s
pCN independent chain 167/200 done: rho=0.500, accept=0.001, runtime=16.19s
pCN independent chain 168/200 done: rho=0.500, accept=0.001, runtime=16.24s
pCN independent chain 169/200 done: rho=0.500, accept=0.001, runtime=16.17s
pCN independent chain 170/200 done: rho=0.500, accept=0.001, runtime=20.35s
pCN independent chain 171/200 done: rho=0.500, accept=0.001, runtime=21.38s
pCN independent chain 172/200 done: rho=0.500, accept=0.001, runtime=21.35s
pCN independent chain 173/200 done: rho=0.500, accept=0.001, runtime=21.33s
pCN independent chain 174/200 done: rho=0.500, accept=0.001, runtime=21.69s
pCN independent chain 175/200 done: rho=0.500, accept=0.001, runtime=21.60s
pCN independent chain 176/200 done: rho=0.500, accept=0.001, runtime=21.42s
pCN independent chain 177/200 done: rho=0.500, accept=0.001, runtime=21.32s
pCN independent chain 178/200 done: rho=0.500, accept=0.001, runtime=17.78s
pCN independent chain 179/200 done: rho=0.500, accept=0.001, runtime=15.73s
pCN independent chain 180/200 done: rho=0.500, accept=0.001, runtime=15.87s
pCN independent chain 181/200 done: rho=0.500, accept=0.001, runtime=15.57s
pCN independent chain 182/200 done: rho=0.500, accept=0.001, runtime=15.32s
pCN independent chain 183/200 done: rho=0.500, accept=0.001, runtime=15.40s
pCN independent chain 184/200 done: rho=0.500, accept=0.001, runtime=15.24s
pCN independent chain 185/200 done: rho=0.500, accept=0.001, runtime=15.36s
